Название;Изображение;Артикул;Цена;Объем/вес;Тип;Бренд;Страна производства
Christine Lavoisier Туалетная вода Christine Lavoisier Elite Collection So Sexy Lady Edt 14 мл;https://chudodey.com/global/images/icons/ffeb28b6-af65-11ea-821f-a4bf0118b88e.JPEG?8052;Артикул: Т7095391;233 руб.;14 мл;Туалетная вода;Christine Lavoisier;РОССИЯ
Makeup Revolution Хайлайтер для лица Hilghlight Reloaded Just My Type 10 гр;https://chudodey.com/global/images/icons/750adefb-c6fb-11ea-821f-a4bf0118b88e.JPEG?8308;Артикул: Т7098422;467 руб.;10 гр;Хайлайтер;Makeup Revolution;Великобритания
Vilenta Подводка-штамп для глаз Your Emotions Today 208 Eyeliner&Heart black stamp 2 мл;https://chudodey.com/global/images/icons/c6dac0a7-3da8-11eb-ae5f-be7e7c666735.JPEG?5349;Артикул: Т7102729;295 руб.;2 мл;Подводка для глаз;Vilenta;РОССИЯ
Lacalut Зубная паста Бейсик 75 мл;https://chudodey.com/global/images/icons/2eb163c1-37ec-11ea-925d-a4bf0118b88e.JPEG?2372;Артикул: Т6905021;346 руб.;75 мл;Зубная паста;Lacalut;ГЕРМАНИЯ
Splat Зубная паста Биокальций 100 мл;https://chudodey.com/global/images/icons/99b2f05b-2683-11e7-b245-e9a1d4cb714f.JPEG?7059;Артикул: Т6838840;254 руб.;100 мл;Зубная паста;Splat;РОССИЯ
Maneki Салфетки бумажные двухслойные Dream аромат Европы 250 шт;https://chudodey.com/global/images/icons/6d118296-6970-11ea-821f-a4bf0118b88e.JPEG?9051;Артикул: Т6955367;188 руб.;250 шт;Салфетки бумажные;Maneki;ЯПОНИЯ
Lamel Professional Cыворотка-праймер для ресниц Insta Pantenol Eyelash Serum 6 мл;https://chudodey.com/global/images/icons/87a3349f-83bf-11ec-ad3a-005056930f9d.JPEG?123;Артикул: Т7113497;904 руб.;6 мл;Основа под макияж;Lamel Professional;Китай
Ninelle Barcelona База для ресниц Suerte 181 10 мл;https://chudodey.com/global/images/icons/3b97c7c4-893a-11ec-ad3b-005056930f9d.JPEG?6875;Артикул: Т7112505;499 руб.;10 мл;Основа под тушь;Ninelle Barcelona;Испания
Eveline База под тени Eye Shadow Base 7 мл;https://chudodey.com/global/images/icons/no-image.png;Артикул: Т7122141;403 руб.;7 мл;Основа для глаз;Eveline;Польша
Artdeco База под тени для век 5 мл;https://chudodey.com/global/images/icons/45971320-e815-11e8-ba8a-a4bf0118b88e.JPEG?687;Артикул: Т6918368;585 руб.;5 мл;Основа под макияж;Artdeco;ГЕРМАНИЯ
Luxvisage База под тени для век 5 гр;https://chudodey.com/global/images/icons/a4ef9b99-fe52-11ec-ad46-005056930f9d.JPEG?9850;Артикул: Т7118802;205 руб.;5 гр;Основа под макияж;Luxvisage;БЕЛАРУСЬ
Essence База под тени для век I Love Colour Intensifying Eyeshadow Base шт;https://chudodey.com/global/images/icons/9ef7845e-f202-11e9-925d-a4bf0118b88e.JPEG?1809;Артикул: Т7020848;289 руб.;шт;Основа под макияж;Essence;Польша
Lamel Professional База под тени для век Insta Eyeshadows Base 10 мл;https://chudodey.com/global/images/icons/a8b299ad-612a-11ec-ad33-005056930f9d.JPEG?1009;Артикул: Т7112064;575 руб.;10 мл;Основа под макияж;Lamel Professional;Китай
Vivienne Sabo База под тени для век Magique с фетровым апликатором молочно-белая 3 мл;https://chudodey.com/global/images/icons/bc313a3d-02b7-11eb-ae54-993c0ebbefda.JPEG?2773;Артикул: Т7100489;509 руб.;3 мл;Основа под макияж;Vivienne Sabo;Франция
Eva Mosaic База под тени для глаз Eye Primer 4.5 мл;https://chudodey.com/global/images/icons/313bc47f-90ee-11ea-821f-a4bf0118b88e.JPEG?5895;Артикул: Т7097166;474 руб.;4.5 мл;Основа под макияж;Eva Mosaic;ГЕРМАНИЯ
LN professional База-праймер для век Eyeshadow Primer 101 прозрачный 10 мл;https://chudodey.com/global/images/icons/08302a4e-f1c3-11ec-ad46-005056930f9d.JPEG?766;Артикул: Т7117752;474 руб.;10 мл;Основа под макияж;LN professional;Великобритания
Art-Visage Гель для бровей и ресниц Fix & сAre 4.3 мл;https://chudodey.com/global/images/icons/fd5694ed-acff-11e9-b8f0-a4bf0118b88e.JPEG?2943;Артикул: Т7079135;193 руб.;4.3 мл;Гель для бровей;Art-Visage;РОССИЯ
Art-Visage Гель для бровей и ресниц Organic активатор роста 4 мл;https://chudodey.com/global/images/icons/36e4f1c5-ada3-11e9-b8f0-a4bf0118b88e.JPEG?346;Артикул: Т7079097;257 руб.;4 мл;Гель для бровей;Art-Visage;РОССИЯ
Vilenta Гель для бровей прозрачный + лайнер для глаз черный 2в1 2 мл+0,3 мл;https://chudodey.com/global/images/icons/db8b9fb8-eb73-11ec-ad46-005056930f9d.JPEG?213;Артикул: Т7117035;994 руб.;2 мл+0,3 мл;Подводка для глаз;Vilenta;РОССИЯ
Eva Mosaic Гель для губ и век прозрачный кристаллический Liquid Glass жидкое стекло 7 мл;https://chudodey.com/global/images/icons/313bc481-90ee-11ea-821f-a4bf0118b88e.JPEG?7881;Артикул: Т7097168;366 руб.;7 мл;Гель для глаз;Eva Mosaic;ГЕРМАНИЯ
Estrade Гель для губ и век сияющий Disco 87 шанэль 6 мл;https://chudodey.com/global/images/icons/1c786dc9-b9a6-11ea-821f-a4bf0118b88e.JPEG?1241;Артикул: Т7097409;350 руб.;6 мл;Тени;Estrade;РОССИЯ
Pharmaact Гель для снятия макияжа 200 гр;https://chudodey.com/global/images/icons/18a8b64d-0143-11e7-9893-ac4af35bfd5c.JPEG?5786;Артикул: Т6905191;426 руб.;200 гр;Гель для лица;Pharmaact;ЯПОНИЯ
Relouis Гель для ускорения роста ресниц Длинные ресницы 10 мл;https://chudodey.com/global/images/icons/6371cc35-fb74-11e9-925d-a4bf0118b88e.JPEG?8432;Артикул: Т7040866;295 руб.;10 мл;Основа под макияж;Relouis;БЕЛАРУСЬ
Art-Visage Гель-актив для бровей и корней ресниц рост и питание 4 мл;https://chudodey.com/global/images/icons/36e4f1c7-ada3-11e9-b8f0-a4bf0118b88e.JPEG?8457;Артикул: Т7079096;257 руб.;4 мл;Гель для бровей;Art-Visage;РОССИЯ
Vilenta Гель-глиттер для волос, лица и тела 01 Pose 25 гр;https://chudodey.com/global/images/icons/db8b9fbb-eb73-11ec-ad46-005056930f9d.JPEG?5112;Артикул: Т7117036;1156 руб.;25 гр;Гель для тела;Vilenta;РОССИЯ
Maybelline New York Гель-лайнер мастер драма коричневый 3 гр;https://chudodey.com/global/images/icons/aebf7331-f3f8-11e9-925d-a4bf0118b88e.JPEG?1672;Артикул: Т6944485;772 руб.;3 гр;Подводка для глаз;Maybelline New York;Франция
Lamel Professional Глиттер для век жидкий Moonrise Liquid Glitter Eyeshadow 401 5.6 гр;https://chudodey.com/global/images/icons/07eab464-6452-11ec-ad34-005056930f9d.JPEG?1514;Артикул: Т7112254;734 руб.;5.6 гр;Глиттер;Lamel Professional;Китай
